,Player,T20_Span,T20_Matches,T20_Innings,T20_OVERS,T20_MAIDENS,T20_RUNS_given,T20_WICKETS,T20_BESTFIGURE,T20_BOWL_AVERAGE,T20_ECONOMY,T20_SR,T20_4_WKTS,T20_5_WKTS
0,Shakib Al Hasan (BAN),2006-2022,96,95,354.3,3,2366,119,5/20,19.88,6.67,17.8,5,1
1,TG Southee (NZ),2008-2021,92,90,332.5,2,2729,111,5/18,24.58,8.19,17.9,1,1
2,SL Malinga (SL),2006-2020,84,83,299.5,1,2225,107,5/6,20.79,7.42,16.8,1,2
3,Rashid Khan (AFG/ICC),2015-2022,58,58,219.2,1,1357,105,5/3,12.92,6.18,12.5,4,2
4,Shahid Afridi (ICC/PAK),2006-2018,99,97,361.2,4,2396,98,4/11,24.44,6.63,22.1,3,0
5,Mustafizur Rahman (BAN),2015-2022,63,63,225.4,6,1710,87,5/22,19.65,7.57,15.5,3,1
6,Saeed Ajmal (PAK),2009-2015,64,63,238.2,2,1516,85,4/19,17.83,6.36,16.8,4,0
7,Umar Gul (PAK),2007-2016,60,60,200.3,2,1443,85,5/6,16.97,7.19,14.1,4,2
8,IS Sodhi (NZ),2014-2021,66,64,226.3,0,1824,83,4/28,21.97,8.05,16.3,2,0
9,AU Rashid (ENG),2009-2022,73,70,253.2,3,1840,81,4/2,22.71,7.26,18.7,2,0
10,CJ Jordan (ENG),2014-2022,75,74,259.5,2,2250,80,4/6,28.12,8.65,19.4,2,0
11,DJ Bravo (WI),2006-2021,91,77,250.5,0,2036,78,4/19,26.10,8.11,19.2,3,0
12,GH Dockrell (IRE),2010-2022,93,73,230.2,1,1642,76,4/20,21.60,7.12,18.1,1,0
13,Mohammad Nabi (AFG),2010-2022,88,87,287.4,5,2074,74,4/10,28.02,7.20,23.3,3,0
14,S Lamichhane (ICC/NEPAL),2018-2022,39,39,146.5,3,932,73,4/20,12.76,6.34,12.0,2,0
15,Shadab Khan (PAK),2017-2021,64,60,223.3,3,1591,73,4/14,21.79,7.11,18.3,2,0
16,A Zampa (AUS),2016-2022,62,61,221.5,1,1507,71,5/19,21.22,6.79,18.7,0,1
17,YS Chahal (INDIA),2016-2022,54,54,210.3,1,1723,68,6/25,25.33,8.18,18.5,2,1
18,JJ Bumrah (INDIA),2016-2022,57,56,204.5,8,1333,67,3/11,19.89,6.50,18.3,0,0
19,KMDN Kulasekara (SL),2008-2017,58,58,205.1,6,1530,66,4/31,23.18,7.45,18.6,2,0
20,BAW Mendis (SL),2008-2014,39,39,147.3,5,952,66,6/8,14.42,6.45,13.4,3,2
21,MJ Santner (NZ),2015-2021,62,61,208.2,1,1515,66,4/11,22.95,7.27,18.9,2,0
22,SCJ Broad (ENG),2006-2014,56,55,195.3,2,1491,65,4/24,22.93,7.62,18.0,1,0
23,DW Steyn (SA),2007-2020,47,47,169.1,3,1175,64,4/9,18.35,6.94,15.8,2,0
24,Bilal Khan (OMA),2015-2022,46,45,162.1,6,1040,63,4/19,16.50,6.41,15.4,3,0
25,Imran Tahir (SA/World),2013-2019,38,38,140.5,0,948,63,5/23,15.04,6.73,13.4,2,2
26,TA Boult (NZ),2013-2021,44,44,165.3,1,1345,62,4/34,21.69,8.12,16.0,1,0
27,R Ashwin (INDIA),2010-2021,51,51,191.0,2,1298,61,4/8,21.27,6.79,18.7,2,0
28,Mohammad Hafeez (PAK),2006-2021,119,79,210.1,3,1388,61,4/10,22.75,6.60,20.6,1,0
29,SM Sharif (SCOT),2012-2021,53,52,181.1,0,1470,61,4/24,24.09,8.11,17.8,2,0
30,Hasan Ali (PAK),2016-2022,49,48,166.1,5,1389,60,4/18,23.15,8.35,16.6,1,0
